task_id,model,facet,model_answer,score
medium_heat_inverse_alpha_009,deepseek-ai/DeepSeek-V4-Flash,Problem Formalization,"We aim to infer the unknown thermal diffusivity α (scalar or spatially varying) and reconstruct the temperature field u(x,t) from sparse, noisy temperature measurements at discrete (x,t) locations along a 1D rod. The heat equation ∂u/∂t = α ∂²u/∂x² is assumed. Missing conditions: initial condition u(x,0), boundary conditions at rod ends (e.g., Dirichlet, Neumann, or Robin), rod length L, measurement noise level, and whether α is constant or variable. These must be specified or estimated from data or prior knowledge.",4
medium_heat_inverse_alpha_009,deepseek-ai/DeepSeek-V4-Flash,Physics Constraints,"The solution must satisfy the heat equation exactly (or approximately via soft penalty). Boundary and initial conditions are required for well-posedness; if unknown, they must be inferred as additional parameters or functions. The diffusivity α must be positive. If α is spatially varying, additional regularization (e.g., smoothness) may be needed. The reconstruction must be consistent with the measured data within noise bounds.",4
medium_heat_inverse_alpha_009,deepseek-ai/DeepSeek-V4-Flash,Model Choice,"A physics-informed neural network (PINN) is appropriate: it can handle sparse data, incorporate the PDE as a loss term, and infer α as a trainable parameter (or as a neural network output if spatially varying). The network outputs u(x,t) and optionally α(x). The PDE residual loss enforces physics, while data loss fits measurements. This choice handles the inverse problem and noisy data without requiring a grid or explicit numerical solver.",4
medium_heat_inverse_alpha_009,deepseek-ai/DeepSeek-V4-Flash,Training Strategy,"Use a fully connected neural network with inputs (x,t) and output u. If α is constant, treat it as a trainable scalar; if spatially varying, output α from a separate network or as an additional output. Loss = λ_data * MSE(data, prediction) + λ_pde * MSE(PDE residual) + λ_ic * MSE(initial condition) + λ_bc * MSE(boundary conditions) + λ_reg * regularization (e.g., L2 on α gradients). Sample collocation points for PDE residual via Latin hypercube or random sampling. Use Adam optimizer initially, then L-BFGS for fine-tuning. Noise handling: use a robust loss (e.g., Huber) or weight data points by inverse noise variance. Validate on held-out data.",4
medium_heat_inverse_alpha_009,deepseek-ai/DeepSeek-V4-Flash,Validation Failure Risks,"1) Non-uniqueness: multiple (α, u) pairs may fit data and PDE if boundary/initial conditions are missing. 2) Overfitting to noise if λ_data is too high. 3) Poor convergence if α is spatially varying and under-regularized. 4) Spectral bias: PINNs may fail to capture high-frequency components in u. 5) Sensitivity to collocation point distribution. Mitigations: use cross-validation, add regularization, employ adaptive sampling, and enforce known physical constraints (e.g., maximum principle).",5
medium_burgers_inverse_viscosity_010,deepseek-ai/DeepSeek-V4-Flash,Problem Formalization,"We consider the 1D viscous Burgers equation: u_t + u u_x = ν u_xx, where ν > 0 is the unknown viscosity coefficient. Sparse, noisy velocity measurements u_obs at some spatiotemporal points (x_i, t_i) are available. The goal is to estimate ν and reconstruct the full velocity field u(x,t) over the domain. The domain boundaries and initial condition are not specified; they must be inferred or assumed from data or additional constraints. The problem is an inverse PDE parameter estimation with sparse data.",4
medium_burgers_inverse_viscosity_010,deepseek-ai/DeepSeek-V4-Flash,Physics Constraints,"The governing PDE must be satisfied in a weak or strong sense. For a PINN approach, the residual of the Burgers equation is enforced as a loss term. Boundary conditions (e.g., Dirichlet, periodic) and initial condition are required to close the problem; if unknown, they must be learned from data or assumed (e.g., periodic boundaries if the domain is periodic). The viscosity ν must be positive. The data noise level may be unknown, requiring robust loss functions or uncertainty quantification.",4
medium_burgers_inverse_viscosity_010,deepseek-ai/DeepSeek-V4-Flash,Model Choice,"A Physics-Informed Neural Network (PINN) is suitable: a neural network u_θ(x,t) approximates the solution, and the PDE residual is computed via automatic differentiation. The unknown ν is treated as a trainable parameter. This choice handles sparse data and incorporates physics constraints. Alternative: a Bayesian PINN for uncertainty quantification if noise is significant. The network architecture should be deep enough (e.g., 4-8 layers, 20-50 neurons) with tanh activations for smooth solutions.",4
medium_burgers_inverse_viscosity_010,deepseek-ai/DeepSeek-V4-Flash,Training Strategy,"Loss = λ_data * MSE_data + λ_pde * MSE_pde + λ_bc * MSE_bc + λ_ic * MSE_ic, where MSE_data fits observations, MSE_pde enforces Burgers residual at collocation points, and MSE_bc/ic enforce boundary/initial conditions (if known). If BC/IC are unknown, they may be omitted or learned via additional data. Collocation points are sampled via Latin Hypercube or random in domain. ν is initialized as a positive value (e.g., 0.1) and constrained via softplus or exponential. Use Adam optimizer first, then L-BFGS for fine-tuning. Loss weights may be tuned adaptively (e.g., using gradient statistics). Validation: compare reconstructed field with held-out data, monitor PDE residual, and check ν convergence.",4
medium_burgers_inverse_viscosity_010,deepseek-ai/DeepSeek-V4-Flash,Validation Failure Risks,"1) Non-uniqueness: multiple ν values may fit sparse data, especially if data is very sparse or noisy. 2) Overfitting to noise: high noise can bias ν estimate. 3) Missing BC/IC: if not specified, the solution may be non-unique or unphysical. 4) Training failure: PINNs can get stuck in local minima or fail to converge for stiff PDEs. 5) Domain size unknown: if boundaries are not given, the solution may be extrapolated incorrectly. Mitigations: use multiple random seeds, add regularization, employ ensemble methods, or use Bayesian inference.",4
medium_poisson_source_recovery_011,deepseek-ai/DeepSeek-V4-Flash,Problem Formalization,"We consider a two-dimensional domain Ω with boundary ∂Ω. The unknown potential field u(x,y) satisfies the Poisson equation ∇²u = f(x,y) in Ω, where f is the unknown source term. Partial observations of u are available at a set of points within Ω, and boundary conditions (e.g., Dirichlet or Neumann) are known on ∂Ω. The goal is to jointly reconstruct u and recover f from the sparse data and the PDE constraint. The problem is ill-posed due to the unknown source; additional regularization or representation of f is required.",4
medium_poisson_source_recovery_011,deepseek-ai/DeepSeek-V4-Flash,Physics Constraints,"The primary constraint is the Poisson equation ∇²u = f, which must be satisfied throughout Ω. Boundary conditions (specified as known) provide additional constraints on u at ∂Ω. The observed data points impose interpolation constraints on u. The source f must be represented in a way that ensures the PDE is well-posed; for example, f may be assumed smooth or have a known functional form (e.g., piecewise constant, radial basis functions, or a neural network). Without further specification, we assume f is a continuous function that can be approximated by a neural network or a set of basis functions.",4
medium_poisson_source_recovery_011,deepseek-ai/DeepSeek-V4-Flash,Model Choice,"A physics-informed neural network (PINN) is appropriate because it can jointly represent u and f while enforcing the Poisson equation as a soft constraint. The network takes coordinates (x,y) as input and outputs both u and f (or a latent representation that yields f). Alternatively, a separate network for u and a parameterized source model (e.g., a Gaussian process or a low-dimensional basis) can be used. The PINN approach is chosen for its flexibility in handling irregular observation locations and unknown source forms, and it naturally incorporates the PDE residual as a loss term. The boundary conditions can be enforced via loss terms or hard constraints.",4
medium_poisson_source_recovery_011,deepseek-ai/DeepSeek-V4-Flash,Training Strategy,"The loss function comprises three terms: (1) data loss: mean squared error between predicted u and observed u at measurement points; (2) PDE residual loss: mean squared error of ∇²u - f evaluated at collocation points sampled in Ω; (3) boundary loss: mean squared error of the boundary condition at sampled boundary points. The source f can be regularized with an additional term (e.g., L2 penalty on f or its gradients) to prevent overfitting. Training proceeds via stochastic gradient descent (e.g., Adam) with adaptive weighting of loss terms (e.g., using uncertainty weighting or gradient normalization). Collocation points are sampled using Latin hypercube or random sampling, with refinement near boundaries or high-gradient regions. Validation is performed on held-out measurements and by checking the PDE residual on a separate set of points.",4
medium_poisson_source_recovery_011,deepseek-ai/DeepSeek-V4-Flash,Validation Failure Risks,"Key risks include: (1) Non-uniqueness: multiple (u,f) pairs may satisfy the PDE and data, leading to incorrect source recovery; regularization or additional constraints (e.g., smoothness) are needed. (2) Overfitting to sparse data: the network may fit noise or produce unrealistic source variations. (3) Spectral bias: PINNs may fail to capture high-frequency components of u or f, especially if the source has sharp features. (4) Boundary condition mismatch: if boundary data are noisy or incomplete, the solution may drift. (5) Training instability: unbalanced loss terms can cause convergence issues; adaptive weighting or curriculum learning may be required. Validation should include sensitivity analysis to observation density and noise level, and comparison with a baseline (e.g., a regularized least-squares solution if f is assumed smooth).",4
medium_wave_sparse_sensors_012,deepseek-ai/DeepSeek-V4-Flash,Problem Formalization,"We consider a one-dimensional wave field u(x,t) governed by the wave equation u_tt = c^2 u_xx, with known wave speed c. Sparse sensor measurements provide u at a limited set of spatial locations and time points. The initial conditions u(x,0) and u_t(x,0), as well as boundary conditions, are partially or completely unknown. The goal is to reconstruct the full wave field and possibly infer missing conditions, given the sparse data and known physics.",4
medium_wave_sparse_sensors_012,deepseek-ai/DeepSeek-V4-Flash,Physics Constraints,"The wave equation imposes a strong constraint linking temporal and spatial derivatives. Physics-informed loss terms enforce the PDE residual (u_tt - c^2 u_xx) to be near zero at collocation points. Additionally, if any boundary or initial conditions are known, they can be enforced as soft or hard constraints. The known wave speed c is a fixed parameter, reducing the number of unknowns. The sparse sensor data provide pointwise observations to anchor the solution.",4
medium_wave_sparse_sensors_012,deepseek-ai/DeepSeek-V4-Flash,Model Choice,"A physics-informed neural network (PINN) is appropriate because it can incorporate the wave equation as a soft constraint and handle sparse, irregularly spaced data. The network takes (x,t) as inputs and outputs u(x,t). Automatic differentiation computes the PDE residual. This approach does not require a grid or explicit time-stepping, making it suitable for sparse sensor configurations. Alternative methods like finite differences would require dense initial/boundary data or interpolation, which is unreliable here.",4
medium_wave_sparse_sensors_012,deepseek-ai/DeepSeek-V4-Flash,Training Strategy,"The loss function combines: (1) PDE residual loss at collocation points sampled in the domain, (2) data loss at sensor locations, and (3) optional loss for known boundary/initial conditions. Collocation points can be sampled via Latin hypercube or adaptive sampling to focus on regions with high residuals. Use a multi-stage training approach: first train with a higher weight on data loss to fit observations, then increase PDE loss weight to enforce physics. Optimize with Adam followed by L-BFGS for fine-tuning. Normalize inputs and outputs to improve conditioning.",4
