task_id,difficulty,domain,task_type,pde_system,model,task_score_out_of_25,avg_facet_score
hard_allen_cahn_016,hard,phase_field,stiff_phase_field_modeling,Allen-Cahn equation,BASE/T,17.0,3.400
hard_cahn_hilliard_017,hard,phase_field,high_order_pde_modeling,Cahn-Hilliard equation,BASE/GOLD,18.0,3.600
hard_cahn_hilliard_017,hard,phase_field,high_order_pde_modeling,Cahn-Hilliard equation,BASE/S1,25.0,5.000
hard_cahn_hilliard_017,hard,phase_field,high_order_pde_modeling,Cahn-Hilliard equation,BASE/S2,16.0,3.200
hard_cahn_hilliard_017,hard,phase_field,high_order_pde_modeling,Cahn-Hilliard equation,BASE/T,14.0,2.800
hard_darcy_heterogeneous_019,hard,porous_media,heterogeneous_coefficient_field,Darcy flow,BASE/GOLD,24.0,4.800
hard_darcy_heterogeneous_019,hard,porous_media,heterogeneous_coefficient_field,Darcy flow,BASE/S1,25.0,5.000
hard_darcy_heterogeneous_019,hard,porous_media,heterogeneous_coefficient_field,Darcy flow,BASE/S2,23.0,4.600
hard_darcy_heterogeneous_019,hard,porous_media,heterogeneous_coefficient_field,Darcy flow,BASE/T,15.0,3.000
hard_helmholtz_high_frequency_020,hard,wave_physics,high_frequency_frequency_domain_modeling,Helmholtz equation,BASE/GOLD,20.0,4.000
hard_helmholtz_high_frequency_020,hard,wave_physics,high_frequency_frequency_domain_modeling,Helmholtz equation,BASE/S1,25.0,5.000
hard_helmholtz_high_frequency_020,hard,wave_physics,high_frequency_frequency_domain_modeling,Helmholtz equation,BASE/S2,24.0,4.800
hard_helmholtz_high_frequency_020,hard,wave_physics,high_frequency_frequency_domain_modeling,Helmholtz equation,BASE/T,15.0,3.000
hard_navier_stokes_2d_018,hard,fluid_dynamics,forward_or_data_assimilation,2D incompressible Navier-Stokes equations,BASE/GOLD,24.0,4.800
hard_navier_stokes_2d_018,hard,fluid_dynamics,forward_or_data_assimilation,2D incompressible Navier-Stokes equations,BASE/S1,25.0,5.000
hard_navier_stokes_2d_018,hard,fluid_dynamics,forward_or_data_assimilation,2D incompressible Navier-Stokes equations,BASE/S2,22.0,4.400
hard_navier_stokes_2d_018,hard,fluid_dynamics,forward_or_data_assimilation,2D incompressible Navier-Stokes equations,BASE/T,17.0,3.400
hard_plus_acoustic_scattering_maze_022,hard_plus,acoustics,complex_geometry_scattering,Acoustic scattering in maze-like geometry,BASE/GOLD,24.0,4.800
hard_plus_acoustic_scattering_maze_022,hard_plus,acoustics,complex_geometry_scattering,Acoustic scattering in maze-like geometry,BASE/S1,24.0,4.800
hard_plus_acoustic_scattering_maze_022,hard_plus,acoustics,complex_geometry_scattering,Acoustic scattering in maze-like geometry,BASE/S2,21.0,4.200
hard_plus_acoustic_scattering_maze_022,hard_plus,acoustics,complex_geometry_scattering,Acoustic scattering in maze-like geometry,BASE/T,18.0,3.600
hard_plus_euler_shock_023,hard_plus,compressible_flow,discontinuous_solution_modeling,Compressible Euler equations with shocks,BASE/GOLD,23.0,4.600
hard_plus_euler_shock_023,hard_plus,compressible_flow,discontinuous_solution_modeling,Compressible Euler equations with shocks,BASE/S1,17.0,3.400
hard_plus_euler_shock_023,hard_plus,compressible_flow,discontinuous_solution_modeling,Compressible Euler equations with shocks,BASE/S2,25.0,5.000
hard_plus_euler_shock_023,hard_plus,compressible_flow,discontinuous_solution_modeling,Compressible Euler equations with shocks,BASE/T,10.0,2.000
hard_plus_helmholtz_staircase_021,hard_plus,wave_physics,complex_geometry_high_frequency_modeling,High-frequency Helmholtz equation in staircase geometry,BASE/GOLD,23.0,4.600
hard_plus_helmholtz_staircase_021,hard_plus,wave_physics,complex_geometry_high_frequency_modeling,High-frequency Helmholtz equation in staircase geometry,BASE/S1,24.0,4.800
hard_plus_helmholtz_staircase_021,hard_plus,wave_physics,complex_geometry_high_frequency_modeling,High-frequency Helmholtz equation in staircase geometry,BASE/S2,22.0,4.400
hard_plus_helmholtz_staircase_021,hard_plus,wave_physics,complex_geometry_high_frequency_modeling,High-frequency Helmholtz equation in staircase geometry,BASE/T,15.0,3.000
hard_plus_mhd_divergence_025,hard_plus,magnetohydrodynamics,coupled_divergence_free_field_modeling,Resistive magnetohydrodynamics,BASE/GOLD,23.0,4.600
hard_plus_mhd_divergence_025,hard_plus,magnetohydrodynamics,coupled_divergence_free_field_modeling,Resistive magnetohydrodynamics,BASE/S1,16.0,3.200
hard_plus_mhd_divergence_025,hard_plus,magnetohydrodynamics,coupled_divergence_free_field_modeling,Resistive magnetohydrodynamics,BASE/S2,25.0,5.000
hard_plus_mhd_divergence_025,hard_plus,magnetohydrodynamics,coupled_divergence_free_field_modeling,Resistive magnetohydrodynamics,BASE/T,11.0,2.200
hard_plus_multiscale_darcy_026,hard_plus,porous_media,multiscale_operator_or_solver_design,Multiscale Darcy flow with high-contrast permeability,BASE/GOLD,24.0,4.800
hard_plus_multiscale_darcy_026,hard_plus,porous_media,multiscale_operator_or_solver_design,Multiscale Darcy flow with high-contrast permeability,BASE/S1,25.0,5.000
hard_plus_multiscale_darcy_026,hard_plus,porous_media,multiscale_operator_or_solver_design,Multiscale Darcy flow with high-contrast permeability,BASE/S2,24.0,4.800
hard_plus_multiscale_darcy_026,hard_plus,porous_media,multiscale_operator_or_solver_design,Multiscale Darcy flow with high-contrast permeability,BASE/T,12.0,2.400
hard_plus_rayleigh_benard_024,hard_plus,thermal_fluid_dynamics,coupled_multiphysics_modeling,Rayleigh-Benard convection under Boussinesq approximation,BASE/GOLD,24.0,4.800
hard_plus_rayleigh_benard_024,hard_plus,thermal_fluid_dynamics,coupled_multiphysics_modeling,Rayleigh-Benard convection under Boussinesq approximation,BASE/S1,25.0,5.000
hard_plus_rayleigh_benard_024,hard_plus,thermal_fluid_dynamics,coupled_multiphysics_modeling,Rayleigh-Benard convection under Boussinesq approximation,BASE/S2,23.0,4.600
hard_plus_rayleigh_benard_024,hard_plus,thermal_fluid_dynamics,coupled_multiphysics_modeling,Rayleigh-Benard convection under Boussinesq approximation,BASE/T,16.0,3.200
medium_advection_diffusion_008,medium,transport,forward_pde_solving,Advection-diffusion equation,BASE/GOLD,23.0,4.600
medium_advection_diffusion_008,medium,transport,forward_pde_solving,Advection-diffusion equation,BASE/S1,25.0,5.000
medium_advection_diffusion_008,medium,transport,forward_pde_solving,Advection-diffusion equation,BASE/S2,21.0,4.200
medium_advection_diffusion_008,medium,transport,forward_pde_solving,Advection-diffusion equation,BASE/T,16.0,3.200
medium_burgers_inverse_viscosity_010,medium,fluid_dynamics,inverse_parameter_estimation,1D viscous Burgers equation,BASE/GOLD,24.0,4.800
medium_burgers_inverse_viscosity_010,medium,fluid_dynamics,inverse_parameter_estimation,1D viscous Burgers equation,BASE/S1,25.0,5.000
medium_burgers_inverse_viscosity_010,medium,fluid_dynamics,inverse_parameter_estimation,1D viscous Burgers equation,BASE/S2,21.0,4.200
medium_burgers_inverse_viscosity_010,medium,fluid_dynamics,inverse_parameter_estimation,1D viscous Burgers equation,BASE/T,15.0,3.000
medium_heat_inverse_alpha_009,medium,heat_transfer,inverse_parameter_estimation,1D heat equation,BASE/GOLD,24.0,4.800
medium_heat_inverse_alpha_009,medium,heat_transfer,inverse_parameter_estimation,1D heat equation,BASE/S1,21.0,4.200
medium_heat_inverse_alpha_009,medium,heat_transfer,inverse_parameter_estimation,1D heat equation,BASE/S2,19.0,3.800
medium_heat_inverse_alpha_009,medium,heat_transfer,inverse_parameter_estimation,1D heat equation,BASE/T,15.0,3.000
medium_heat_mixed_bc_014,medium,heat_transfer,boundary_condition_handling,1D heat equation,BASE/GOLD,23.0,4.600
medium_heat_mixed_bc_014,medium,heat_transfer,boundary_condition_handling,1D heat equation,BASE/S1,25.0,5.000
medium_heat_mixed_bc_014,medium,heat_transfer,boundary_condition_handling,1D heat equation,BASE/S2,24.0,4.800
medium_heat_mixed_bc_014,medium,heat_transfer,boundary_condition_handling,1D heat equation,BASE/T,19.0,3.800
medium_periodic_advdiff_015,medium,transport,periodic_constraint_handling,Periodic advection-diffusion equation,BASE/GOLD,20.0,4.000
medium_periodic_advdiff_015,medium,transport,periodic_constraint_handling,Periodic advection-diffusion equation,BASE/S1,25.0,5.000
medium_periodic_advdiff_015,medium,transport,periodic_constraint_handling,Periodic advection-diffusion equation,BASE/S2,18.0,3.600
medium_periodic_advdiff_015,medium,transport,periodic_constraint_handling,Periodic advection-diffusion equation,BASE/T,15.0,3.000
medium_poisson_source_recovery_011,medium,potential_fields,unknown_source_recovery,2D Poisson equation,BASE/GOLD,24.0,4.800
medium_poisson_source_recovery_011,medium,potential_fields,unknown_source_recovery,2D Poisson equation,BASE/S1,25.0,5.000
medium_poisson_source_recovery_011,medium,potential_fields,unknown_source_recovery,2D Poisson equation,BASE/S2,19.0,3.800
medium_poisson_source_recovery_011,medium,potential_fields,unknown_source_recovery,2D Poisson equation,BASE/T,15.0,3.000
medium_reaction_diffusion_noisy_013,medium,chemical_biology,noisy_data_fitting,Two-species reaction-diffusion system,BASE/GOLD,24.0,4.800
medium_reaction_diffusion_noisy_013,medium,chemical_biology,noisy_data_fitting,Two-species reaction-diffusion system,BASE/S1,25.0,5.000
medium_reaction_diffusion_noisy_013,medium,chemical_biology,noisy_data_fitting,Two-species reaction-diffusion system,BASE/S2,17.0,3.400
medium_reaction_diffusion_noisy_013,medium,chemical_biology,noisy_data_fitting,Two-species reaction-diffusion system,BASE/T,15.0,3.000
medium_wave_sparse_sensors_012,medium,wave_propagation,sparse_observation_modeling,1D wave equation,BASE/GOLD,23.0,4.600
medium_wave_sparse_sensors_012,medium,wave_propagation,sparse_observation_modeling,1D wave equation,BASE/S1,25.0,5.000
medium_wave_sparse_sensors_012,medium,wave_propagation,sparse_observation_modeling,1D wave equation,BASE/S2,21.0,4.200
medium_wave_sparse_sensors_012,medium,wave_propagation,sparse_observation_modeling,1D wave equation,BASE/T,16.0,3.200
