"id","difficulty","domain","pde_system","task_type","tags","source_category","primary_reference","provenance_note","problem","review_notes"
"medium_poisson_source_recovery_011","medium","potential_fields","2D Poisson equation","unknown_source_recovery","2d;elliptic_pde;inverse_source;observations;pinn","canonical_pde","Classic inverse PDE / PINNacle-inspired","Adapted as a natural-language planning task; no numerical data copied.","A scientist has partial observations of a two-dimensional potential field and wants to infer an unknown source term in a Poisson equation. Boundary information is available. Design a physics-informed modeling workflow for joint field reconstruction and source recovery.","RESOLVED: inverse source recovery uses neural source representation f_phi; private reference has u=sin(pi*x)*sin(pi*y), f=2*pi^2*sin(pi*x)*sin(pi*y), 200 noisy observations."
"medium_wave_sparse_sensors_012","medium","wave_propagation","1D wave equation","sparse_observation_modeling","1d;hyperbolic_pde;sparse_sensors;data_assimilation;pinn","original_pinn_literature","PINN inverse / data assimilation style","Adapted as a natural-language planning task; no numerical data copied.","A team has sparse sensor measurements of a one-dimensional wave field over time. The wave speed is known, but full initial and boundary information may be incomplete. Design a physics-informed modeling workflow and state what additional information or assumptions are required.","RESOLVED: missing-condition detection task; private reference uses c=1.0 and 100 sparse noisy sensors, while public input intentionally leaves full IC/BC incomplete."
"medium_reaction_diffusion_noisy_013","medium","chemical_biology","Reaction-diffusion equation","noisy_data_fitting","reaction_diffusion;noisy_data;regularization;pinn","pdebench_or_thewell_inspired","PDEBench / The Well Gray-Scott-inspired","Adapted as a natural-language planning task; no numerical data copied.","A biophysics group observes noisy concentration measurements from a reaction-diffusion process. The reaction form is known, but the data are sparse and noisy. Design a physics-informed modeling workflow that fits the observations while respecting the governing dynamics.","RESOLVED: two-species Gray-Scott-style noisy reaction-diffusion reference with 2 percent Gaussian noise; distinguishes task 013 from scalar task 006."
"medium_heat_mixed_bc_014","medium","heat_transfer","1D heat equation","boundary_condition_handling","1d;parabolic_pde;mixed_bc;dirichlet_bc;neumann_bc;pinn","canonical_pde","Classic PDE / boundary condition stress test","Adapted as a natural-language planning task; no numerical data copied.","A researcher models heat diffusion in a one-dimensional rod where one end is held at a fixed temperature and the heat flux is prescribed at the other end. The initial temperature profile is known. Design a physics-informed modeling workflow for this mixed-boundary problem.","RESOLVED: homogeneous Neumann derivative u_x(1,t)=0 avoids flux sign ambiguity; left boundary is Dirichlet u(0,t)=0."
"medium_periodic_advdiff_015","medium","transport","Periodic advection-diffusion equation","periodic_constraint_handling","periodic_domain;advection_diffusion;periodic_bc;pinn","pdebench_inspired","PDEBench-inspired","Adapted as a natural-language planning task; no numerical data copied.","A scientist wants to model a scalar field on a periodic domain governed by advection and diffusion. The initial condition is periodic, and the solution should remain periodic over time. Design a physics-informed modeling workflow that enforces periodicity correctly.","RESOLVED: derivative periodicity is required for full credit because the PDE includes diffusion; c=1.0, D=0.01, x in [0,1]."
"hard_allen_cahn_016","hard","phase_field","Allen-Cahn equation","stiff_phase_field_modeling","phase_field;stiffness;interface_dynamics;nonlinear_pde;pinn","original_pinn_literature","PINN literature / phase-field PDE","Adapted as a natural-language planning task; no numerical data copied.","A materials scientist wants to approximate phase separation dynamics governed by an Allen-Cahn-type equation. The solution may develop sharp interfaces, and training instability is a concern. Design a physics-informed modeling workflow that addresses stiffness and interface dynamics.","RESOLVED: 1D Allen-Cahn with epsilon=0.01, periodic BC, nonlinear term u-u^3; hard facet is stiffness and interface dynamics."
"hard_cahn_hilliard_017","hard","phase_field","Cahn-Hilliard equation","high_order_pde_modeling","fourth_order_pde;phase_field;mass_conservation;stiffness;pinn","phase_field_literature","Phase-field PDE / hard PINN literature","Adapted as a natural-language planning task; no numerical data copied.","A researcher wants to model a conserved phase-field process governed by a Cahn-Hilliard-type equation. The PDE is fourth order and should preserve mass over time. Design a physics-informed modeling workflow for this high-order system.","RESOLVED: auxiliary-variable or mixed formulation is required for full credit; periodic BC and mass conservation are central scoring facets."
"hard_navier_stokes_2d_018","hard","fluid_dynamics","2D incompressible Navier-Stokes equations","forward_or_data_assimilation","2d;coupled_pde;incompressibility;pressure;fluid_dynamics;pinn","original_pinn_literature","Original PINN / PDEBench / The Well-inspired","Adapted as a natural-language planning task; no numerical data copied.","A fluid dynamics group wants to approximate a two-dimensional incompressible flow field from partial velocity observations. The model should respect momentum balance and incompressibility, and pressure is not directly observed. Design a physics-informed modeling workflow for velocity and pressure.","RESOLVED: moderate-Re 2D incompressible flow with Re=100; pressure unobserved; BC are known in reference but not specified in public, so plans should request or condition on them."
"hard_darcy_heterogeneous_019","hard","porous_media","Darcy flow","heterogeneous_coefficient_field","2d;porous_media;elliptic_pde;heterogeneous_coefficient;inverse_or_forward;pinn","pdebench_inspired","PDEBench","Adapted as a natural-language planning task; no numerical data copied.","A geoscience team wants to model steady Darcy flow through a heterogeneous porous medium. The permeability field varies spatially, and boundary conditions are available. Design a physics-informed modeling workflow to estimate the hydraulic head and account for heterogeneous coefficients.","RESOLVED: known heterogeneous permeability forward Darcy problem; inverse permeability estimation is reserved for a future variant."
"hard_helmholtz_high_frequency_020","hard","wave_physics","Helmholtz equation","high_frequency_frequency_domain_modeling","helmholtz;frequency_domain;oscillatory_solution;complex_geometry;pinn","pinnacle_or_thewell_inspired","The Well / PINNacle-inspired","Adapted as a natural-language planning task; no numerical data copied.","A researcher wants to solve a frequency-domain Helmholtz problem in a domain with prescribed boundary conditions. The solution may be highly oscillatory at high wave numbers. Design a physics-informed modeling workflow and discuss training and validation risks.","RESOLVED: [0,1]^2 square domain, homogeneous Dirichlet BC, k=20, source sin(pi*x)*sin(pi*y); hard facet is high-frequency spectral bias."
"hard_plus_helmholtz_staircase_021","hard_plus","wave_physics","High-frequency Helmholtz equation in staircase geometry","complex_geometry_high_frequency_modeling","helmholtz;high_frequency;complex_geometry;spectral_bias;domain_decomposition;fourier_features","thewell_or_pinnacle_inspired","The Well Helmholtz staircase / PINNacle electromagnetics-inspired","Adapted as a natural-language planning stress task; no numerical data copied.","A researcher wants to solve a high-frequency frequency-domain Helmholtz problem in a two-dimensional staircase-shaped domain. The source term and boundary conditions are known, but the solution is highly oscillatory and the geometry contains sharp corners and nontrivial boundaries. Design a physics-informed modeling workflow and discuss why a standard PINN may or may not be sufficient.","RESOLVED: hard-plus stress task focused on spectral bias, points per wavelength, complex geometry, Fourier/SIREN/domain-decomposition choices, and phase-aware validation."
"hard_plus_acoustic_scattering_maze_022","hard_plus","acoustics","Acoustic scattering in maze-like geometry","complex_geometry_scattering","acoustic_scattering;complex_geometry;maze;radiation_boundary;domain_decomposition;geometry_mask","thewell_inspired","The Well acoustic scattering / acoustic scattering maze-inspired","Adapted as a natural-language planning stress task; no numerical data copied.","An acoustics group wants to model wave scattering in a two-dimensional maze-like domain with internal obstacles. The incident wave, material properties, and boundary descriptions are available, but the geometry is complex and scattered waves interact with many walls. Design a physics-informed modeling workflow that handles geometry, boundary conditions, and scattering-specific validation.","RESOLVED: hard-plus stress task focused on complex geometry, obstacle boundaries, scattering/radiation conditions, domain decomposition, and far-field or flux validation."
"hard_plus_euler_shock_023","hard_plus","compressible_flow","Compressible Euler equations with shocks","discontinuous_solution_modeling","compressible_euler;shock;discontinuity;conservation_law;weak_form;shock_capturing","pdebench_or_thewell_inspired","PDEBench / The Well Euler multi-quadrants-inspired","Adapted as a natural-language planning stress task; no numerical data copied.","A researcher wants to model a compressible inviscid flow governed by the Euler equations where shocks and contact discontinuities may form from piecewise initial states. Design a physics-informed modeling workflow that respects conservation laws and handles discontinuous solutions without relying only on pointwise smooth residual fitting.","RESOLVED: hard-plus stress task focused on discontinuities, conservation form, weak-form PINNs, shock-capturing, Rankine-Hugoniot/entropy validation."
"hard_plus_rayleigh_benard_024","hard_plus","thermal_fluid_dynamics","Rayleigh-Benard convection under Boussinesq approximation","coupled_multiphysics_modeling","rayleigh_benard;boussinesq;incompressibility;thermal_boundary_layer;nusselt_number;coupled_pde","thewell_inspired","The Well Rayleigh-Benard-inspired","Adapted as a natural-language planning stress task; no numerical data copied.","A fluid dynamics group wants to model Rayleigh-Benard convection in a two-dimensional cell heated from below and cooled from above. The workflow must couple velocity, pressure, and temperature fields, respect incompressibility, and capture boundary-layer-driven heat transport. Design a physics-informed modeling workflow and validation plan.","RESOLVED: hard-plus stress task focused on velocity-pressure-temperature coupling, divergence-free constraints, boundary layers, Nusselt number, and heat-flux validation."
"hard_plus_mhd_divergence_025","hard_plus","magnetohydrodynamics","Resistive magnetohydrodynamics","coupled_divergence_free_field_modeling","mhd;magnetic_field;divergence_free;conservation;coupled_pde;vector_potential","thewell_inspired","The Well MHD-inspired","Adapted as a natural-language planning stress task; no numerical data copied.","A plasma physics team wants to model a two-dimensional resistive magnetohydrodynamics system with coupled velocity and magnetic fields. The plan must respect momentum balance, magnetic induction, and divergence-free constraints on the velocity and magnetic field. Design a physics-informed modeling workflow that avoids unphysical divergence errors.","RESOLVED: hard-plus stress task focused on div(B)=0, div(u)=0, coupled momentum/induction residuals, vector-potential or structure-preserving models, and conservation-aware validation."
"hard_plus_multiscale_darcy_026","hard_plus","porous_media","Multiscale Darcy flow with high-contrast permeability","multiscale_operator_or_solver_design","darcy_flow;multiscale;high_contrast_coefficient;flux_continuity;neural_operator;domain_decomposition","pdebench_or_pinnacle_inspired","PDEBench Darcy / PINNacle multiscale-inspired","Adapted as a natural-language planning stress task; no numerical data copied.","A geoscience team wants to model Darcy flow across many high-contrast heterogeneous permeability fields. Boundary conditions and source terms are available, and the goal may involve either solving a single difficult instance or learning across a family of coefficient fields. Design a physics-informed modeling workflow and explain when a neural operator, domain decomposition, or coefficient-aware PINN would be appropriate.","RESOLVED: hard-plus stress task focused on model-choice conditionality, neural operator vs single-instance PINN, multiscale coefficients, flux continuity, and mass-balance validation."
